Benchmark,Queue_Type,Threads,Payload_Size,Queue_Depth,Sample_Count,Mean_Latency_us,Min_Latency_us,Max_Latency_us,Std_Dev_us,Jitter,Memory_Overhead_bytes,Contention_Rate,Queue_Full_Failures,P50_us,P90_us,P95_us,P99_us,P99_9_us,P99_99_us,Throughput_ops_per_sec
P1:C8,Boost,9,88,0,5000,643.547,1.1,1080.78,261.832,0.406858,6207168,0,0,729.685,971.981,1019.28,1052.98,1080.38,1080.68,48654.9
P2:C4,Lock,6,88,0,10000,57.6439,0.3,328.894,67.9308,1.17846,880120,0.219756,0,30.5,172.996,207.596,262.895,286.194,311.194,86690.4
P2:C4,EBR,6,88,0,10000,1050.46,1.5,2033.46,549.458,0.523063,881152,0,0,1229.58,1704.67,1932.96,2007.96,2031.66,2033.36,95446.6
P2:C4,HP,6,88,0,10000,2262.44,1.3,5374.1,1288.73,0.569621,880256,0,0,2263.06,3894.12,3967.32,4106.92,4131.82,4844.31,95590.9
P2:C4,Boost,6,88,0,10000,1810.63,1.1,2566.15,672.277,0.371294,6647168,0,0,1967.56,2483.45,2503.85,2547.75,2564.85,2566.05,96173.9
P2:C8,Lock,10,88,0,10000,929.433,0.3,2634.75,860.575,0.925914,880120,0.239737,0,685.587,2270.26,2509.75,2579.75,2598.35,2633.85,84492.8
P2:C8,EBR,10,88,0,10000,1070.58,1,2018.36,601.888,0.562205,881152,0,0,1178.98,1840.46,1950.36,1978.76,1982.66,1983.66,95937.1
P2:C8,HP,10,88,0,10000,873.805,0.5,3490.23,732.17,0.83791,880256,0,0,923.782,1858.76,1917.56,1974.46,1996.86,3483.33,93486.4
P2:C8,Boost,10,88,0,10000,331.94,2.2,501.791,82.125,0.247409,6647168,0,0,345.293,426.192,456.291,495.99,500.491,501.291,92850.4
P4:C8,Lock,12,88,0,20000,445.385,0.3,2057.46,450.836,1.01224,1760120,0.275294,0,374.093,1211.18,1389.67,1618.47,1730.47,1829.06,149459
P4:C8,EBR,12,88,0,20000,1069.57,0.5,1750.77,546.522,0.510973,1761152,0,0,1415.57,1592.17,1609.07,1641.67,1664.27,1671.87,175821
P4:C8,HP,12,88,0,20000,815.258,0.5,5632.39,492.686,0.604332,1760256,0,0,1012.08,1329.17,1361.57,1390.57,1942.56,2721.35,173239
P4:C8,Boost,12,88,0,20000,1728.16,1,2670.65,755.808,0.437347,7527168,0,0,1987.86,2481.35,2583.95,2632.75,2663.95,2669.05,177197
P3:C1,Lock,4,88,0,15000,2715.83,3.399,4516.41,1240.75,0.45686,1320120,0.000878994,0,2738.85,4247.32,4346.42,4424.81,4476.61,4497.21,138139
P3:C1,EBR,4,88,0,15000,1144.91,8.2,1813.27,545.264,0.476253,1321152,0,0,1298.58,1672.67,1769.46,1791.46,1812.46,1813.16,144362
P3:C1,HP,4,88,0,15000,13855.5,2.6,24316.9,6520.24,0.470589,1320256,0,0,14409,22305.2,22990.4,24301.6,24316.5,24316.8,138992
P3:C1,Boost,4,88,0,15000,1534.24,1.8,2722.45,688.571,0.448802,7087168,0,0,1533.97,2500.55,2647.65,2711.85,2719.95,2721.75,137575
P1:C3,Lock,4,88,0,5000,1315.69,4.099,1563.47,209.36,0.159125,440120,0.136696,0,1385.27,1543.07,1551.47,1557.67,1563.37,1563.47,48881.4
P1:C3,EBR,4,88,0,5000,330.549,1.5,578.689,165.553,0.500842,441152,0,0,350.393,538.889,557.089,573.589,578.288,578.689,48485.2
P1:C3,HP,4,88,0,5000,809.931,2,2167.76,491.211,0.606484,440256,0,0,807.085,1376.67,1657.37,1739.87,1752.07,2085.26,48874.2
P1:C3,Boost,4,88,0,5000,40.7782,0.4,140.797,34.5527,0.847333,6207168,0,0,39.1,84.998,106.798,128.198,139.397,140.597,48088.9
P6:C2,Lock,8,88,0,30000,11336,0.9,16849.2,4070.14,0.359044,2640120,0.139748,0,11823.4,16105.8,16363.3,16755.4,16795.5,16832,236912
P6:C2,EBR,8,88,0,30000,2031.5,1.1,4245.62,1104.71,0.54379,2641152,0,0,2176.16,3558.53,3854.63,4191.82,4243.02,4245.22,253181
P6:C2,HP,8,88,0,30000,14561.4,1.9,29540.6,7689.16,0.528049,2640256,0,0,13665,25941.1,27310.2,28567.3,28682.8,28689.2,262846
P6:C2,Boost,8,88,0,30000,3020.14,0.9,4751.71,1232.19,0.407992,8407168,0,0,3148.64,4637.01,4687.31,4709.61,4732.11,4737.61,247941
P2:C6,Lock,8,88,0,10000,3788.18,1.3,5867.29,1207.72,0.318813,880120,0.22896,0,3784.33,5405.8,5551.09,5771.79,5830.99,5852.29,89695
P2:C6,EBR,8,88,0,10000,1610.47,1.4,2783.35,789.986,0.490532,881152,0,0,1736.27,2629.85,2746.75,2765.65,2770.25,2770.65,95920.1
P2:C6,HP,8,88,0,10000,1749.57,0.6,3861.03,894.968,0.511535,880256,0,0,1958.46,2922.54,2947.84,2963.44,2967.24,3859.93,96284.8
P2:C6,Boost,8,88,0,10000,573.373,1.7,776.085,151.964,0.265035,6647168,0,0,602.889,716.086,739.186,768.485,775.285,775.785,92986.9
P5:C3,Lock,8,88,0,25000,5796.03,1.1,9945.71,2654.01,0.457901,2200120,0.158594,0,5635.89,9427.12,9636.01,9738.91,9759.61,9783.91,196656
P5:C3,EBR,8,88,0,25000,807.921,0.299,1179.38,293.518,0.3633,2201152,0,0,947.581,1067.28,1098.08,1150.98,1158.08,1169.28,212202
P5:C3,HP,8,88,0,25000,5578.56,1.3,10307.2,2438.94,0.437198,2200256,0,0,6301.08,8561.14,8977.33,9328.72,9348.92,9605.01,215497
P5:C3,Boost,8,88,0,25000,916.222,0.6,1347.27,282.261,0.30807,7967168,0,0,922.982,1266.48,1283.28,1317.88,1338.37,1342.77,212818
P3:C5,Lock,8,88,0,15000,146.156,0.3,1291.58,189.554,1.29692,1320120,0.235089,0,46.099,495.29,590.188,662.288,965.981,983.881,122369
P3:C5,EBR,8,88,0,15000,1335.51,2,1800.37,451.198,0.337847,1321152,0,0,1527.07,1742.67,1757.07,1780.97,1790.77,1792.16,136131
P3:C5,HP,8,88,0,15000,1177.23,0.9,2994.54,744.956,0.632804,1320256,0,0,1181.98,2202.36,2237.36,2297.66,2343.16,2916.24,135806
P3:C5,Boost,8,88,0,15000,580.213,0.3,1023.68,260.506,0.448983,7087168,0,0,691.387,800.984,834.483,854.884,859.083,863.883,135422
Throughput (2 threads),Lock,2,88,0,7597252,0,0,0,0,0,208,0.0411688,0,0,0,0,0,0,0,2.53067e+06
Throughput (2 threads),EBR,2,88,0,9934071,0,0,0,0,0,1240,0,0,0,0,0,0,0,0,3.02024e+06
Throughput (2 threads),HP,2,88,0,11152310,0,0,0,0,0,344,0,0,0,0,0,0,0,0,3.71612e+06
Throughput (2 threads),Boost,2,88,0,8984059,0,0,0,0,0,5767256,0,0,0,0,0,0,0,0,2.99416e+06
Throughput (4 threads),Lock,4,88,0,7902218,0,0,0,0,0,208,0.146782,0,0,0,0,0,0,0,2.63344e+06
Throughput (4 threads),EBR,4,88,0,11451392,0,0,0,0,0,1240,0,0,0,0,0,0,0,0,3.22285e+06
Throughput (4 threads),HP,4,88,0,9706268,0,0,0,0,0,344,0,0,0,0,0,0,0,0,3.11055e+06
Throughput (4 threads),Boost,4,88,0,9459605,0,0,0,0,0,5767256,0,0,0,0,0,0,0,0,3.15222e+06
Throughput (8 threads),Lock,8,88,0,5636007,0,0,0,0,0,208,0.269996,0,0,0,0,0,0,0,1.87811e+06
Throughput (8 threads),EBR,8,88,0,10871730,0,0,0,0,0,1240,0,0,0,0,0,0,0,0,3.11545e+06
Throughput (8 threads),HP,8,88,0,8854655,0,0,0,0,0,344,0,0,0,0,0,0,0,0,2.90679e+06
Throughput (8 threads),Boost,8,88,0,9915715,0,0,0,0,0,5767256,0,0,0,0,0,0,0,0,3.30364e+06
Throughput (16 threads),Lock,16,88,0,3526170,0,0,0,0,0,208,0.322004,0,0,0,0,0,0,0,1.17488e+06
Throughput (16 threads),EBR,16,88,0,9143629,0,0,0,0,0,1240,0,0,0,0,0,0,0,0,2.76505e+06
Throughput (16 threads),HP,16,88,0,6455333,0,0,0,0,0,344,0,0,0,0,0,0,0,0,2.11765e+06
Throughput (16 threads),Boost,16,88,0,9457973,0,0,0,0,0,5767256,0,0,0,0,0,0,0,0,3.14757e+06
